Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity
1740798946.4531364,0,0.05557440000002155,3,2,688.31,687.1000000002846,242.1
1740798946.4540944,0,0.05507760000002155,3,2,688.24,687.0500000002846,242.1
1740798946.4551473,0,0.05508080000002155,3,2,688.12,687.0000000002847,242.05
1740798946.4560843,0,0.05458400000002155,3,2,688,686.9500000002847,242.0
1740798946.4571052,0,0.05408720000002156,3,2,687.88,686.9000000002848,241.95
1740798946.4580505,0,0.05359040000002156,3,2,687.76,686.8500000002848,241.89999999999998
1740798946.459096,0,0.053093600000021564,3,2,687.64,686.8000000002849,241.85
1740798946.460072,0,0.052596800000021565,3,2,687.52,686.7500000002849,241.8
1740798946.4610739,0,0.05210000000002157,3,2,687.4,686.700000000285,241.75
1740798946.4620085,0,0.05160320000002157,3,2,687.28,686.650000000285,241.7
1740798946.463284,0,0.05060640000002157,3,2,687.19,686.600000000285,241.6
1740798946.4646137,0,0.04910960000002157,3,2,687.1,686.5500000002851,241.5
1740798946.4654753,0,0.04761280000002157,3,2,687.01,686.5000000002851,241.4
1740798946.4670541,0,0.04611600000002157,3,2,686.92,686.4500000002852,241.3
1740798946.468044,0,0.04461920000002157,3,2,686.83,686.4000000002852,241.2
1740798946.4691033,0,0.04312240000002158,3,2,686.74,686.3500000002853,241.1
1740798946.4711401,0,0.04162560000002158,3,2,686.65,686.3000000002853,241.0
1740798946.473253,0,0.03962880000002158,3,2,686.53,686.2500000002854,240.85
1740798946.4748726,0,0.03763200000002158,3,2,686.41,686.2000000002854,240.7
1740798946.476335,0,0.03563520000002158,3,2,686.29,686.1500000002854,240.55
1740798946.4777215,0,0.034138400000021586,3,2,686.17,686.1000000002855,240.45
1740798946.478922,0,0.03314160000002159,3,2,686.05,686.0500000002855,240.35
1740798946.4798968,0,0.03214480000002159,3,2,685.93,686.0000000002856,240.25
1740798946.480892,0,0.03114800000002159,3,2,685.81,685.9500000002856,240.15
1740798946.481937,0,0.03015120000002159,3,2,685.69,685.9000000002857,240.05
1740798946.4829516,0,0.02915440000002159,3,2,685.57,685.8500000002857,239.95
1740798946.4838853,0,0.028157600000021592,3,2,685.45,685.8000000002858,239.85
1740798946.484906,0,0.027160800000021596,3,2,685.33,685.7500000002858,239.75
1740798946.4858904,0,0.026664000000021598,3,2,685.24,685.7000000002859,239.7
1740798946.4869027,0,0.0266672000000216,3,2,685.15,685.6500000002859,239.65
1740798946.487895,0,0.0266704000000216,3,2,685.06,685.600000000286,239.6
1740798946.4887629,0,0.026673600000021603,3,2,684.97,685.550000000286,239.55
1740798946.4896538,0,0.0266768000000216,3,2,684.88,685.500000000286,239.5
1740798946.4911325,0,0.026680000000021603,3,2,684.79,685.4500000002861,239.45
1740798946.4921503,0,0.026683200000021605,3,2,684.7,685.4000000002861,239.4
1740798946.4930675,0,0.026686400000021607,3,2,684.61,685.3500000002862,239.35
1740798946.4940326,0,0.026189600000021608,3,2,684.49,685.3000000002862,239.3
1740798946.495101,0,0.025692800000021613,3,2,684.37,685.2500000002863,239.25
1740798946.49647,0,0.02569600000002161,3,2,684.25,685.2000000002863,239.2
1740798946.4974475,0,0.025699200000021613,3,2,684.13,685.1500000002864,239.15
1740798946.49832,0,0.025702400000021615,3,2,684.01,685.1000000002864,239.1
1740798946.4992902,0,0.025705600000021617,3,2,683.89,685.0500000002864,239.05
1740798946.5002446,0,0.02570880000002162,3,2,683.77,685.0000000002865,239.0
1740798946.501188,0,0.02571200000002162,3,2,683.65,684.9500000002865,238.95
1740798946.5025573,0,0.025715200000021622,3,2,683.48,684.9000000002866,238.95
1740798946.5053036,0,0.025718400000021624,3,2,683.31,684.8500000002866,238.95
1740798946.507277,0,0.025721600000021626,3,2,683.14,684.8000000002867,238.95
1740798946.5090866,0,0.025724800000021628,3,2,682.97,684.7500000002867,238.95
1740798946.5108898,0,0.02572800000002163,3,2,682.8,684.7000000002868,238.95
1740798946.5118911,0,0.02473120000002163,3,2,682.8,684.6500000002868,239.05
1740798946.5129309,0,0.02373440000002163,3,2,682.8,684.6000000002869,239.14999999999998
1740798946.5138218,0,0.022737600000021636,3,2,682.8,684.5500000002869,239.25
1740798946.5148563,0,0.021740800000021637,3,2,682.8,684.500000000287,239.35000000000002
1740798946.5167668,0,0.020744000000021637,3,2,682.8,684.450000000287,239.45
1740798946.517687,0,0.01974720000002164,3,2,682.8,684.400000000287,239.55
1740798946.5185568,0,0.01875040000002164,3,2,682.8,684.3500000002871,239.64999999999998
1740798946.5193982,0,0.01825360000002164,3,2,682.8,684.3000000002871,239.75
1740798946.5204122,0,0.017756800000021646,3,2,682.8,684.2500000002872,239.85000000000002
1740798946.5213938,0,0.017260000000021647,3,2,682.8,684.2000000002872,239.95
1740798946.5224469,0,0.01676320000002165,3,2,682.8,684.1500000002873,240.05
1740798946.5234032,0,0.01626640000002165,3,2,682.8,684.1000000002873,240.14999999999998
1740798946.5244703,0,0.01576960000002165,3,2,682.8,684.0500000002874,240.25
1740798946.5254395,0,0.015272800000021652,3,2,682.8,684.0000000002874,240.35000000000002
1740798946.5264194,0,0.014776000000021654,3,2,682.8,683.9500000002874,240.5
1740798946.527412,0,0.014779200000021656,3,2,682.8,683.9000000002875,240.65
1740798946.5284133,0,0.014782400000021657,3,2,682.8,683.8500000002875,240.8
1740798946.529402,0,0.01478560000002166,3,2,682.8,683.8000000002876,240.95
1740798946.5303557,0,0.014788800000021661,3,2,682.8,683.7500000002876,241.10000000000002
1740798946.5314102,0,0.014792000000021661,3,2,682.8,683.7000000002877,241.25
1740798946.532651,0,0.014795200000021663,3,2,682.8,683.6500000002877,241.4
1740798946.533942,0,0.014798400000021665,3,2,682.8,683.6000000002878,241.5
1740798946.5356646,0,0.014301600000021666,3,2,682.8,683.5500000002878,241.55
1740798946.537332,0,0.01380480000002167,3,2,682.8,683.5000000002879,241.60000000000002
1740798946.5392628,0,0.01330800000002167,3,2,682.8,683.4500000002879,241.65
1740798946.5402486,0,0.012811200000021672,3,2,682.8,683.400000000288,241.7
1740798946.5411506,0,0.012814400000021674,3,2,682.8,683.350000000288,241.75
1740798946.542061,0,0.012817600000021676,3,2,682.8,683.300000000288,241.8
1740798946.5431232,0,0.012820800000021677,3,2,682.8,683.2500000002881,241.85000000000002
1740798946.54429,0,0.013324000000021678,3,2,682.8,683.2000000002881,241.9
1740798946.5452719,0,0.01382720000002168,3,2,682.8,683.1500000002882,241.95
1740798946.546219,0,0.014830400000021681,3,2,682.64,683.1000000002882,242.0
1740798946.5470393,0,0.015833600000021684,3,2,682.48,683.0500000002883,242.05
1740798946.5481086,0,0.016836800000021683,3,2,682.32,683.0000000002883,242.10000000000002
1740798946.5491166,0,0.017840000000021686,3,2,682.16,682.9500000002884,242.15
1740798946.550095,0,0.01884320000002169,3,2,682,682.9000000002884,242.2
1740798946.551155,0,0.01984640000002169,3,2,682,682.8500000002884,242.25
1740798946.552104,0,0.02034960000002169,3,2,682,682.8000000002885,242.3
1740798946.5532238,0,0.020852800000021692,3,2,682,682.7500000002885,242.35
1740798946.5542045,0,0.021356000000021694,3,2,682,682.7000000002886,242.4
1740798946.5551705,0,0.021859200000021697,3,2,682,682.6500000002886,242.45
1740798946.556163,0,0.0223624000000217,3,2,682,682.6000000002887,242.5
1740798946.5571458,0,0.0228656000000217,3,2,682,682.5500000002887,242.55
1740798946.5580945,0,0.0233688000000217,3,2,682,682.5000000002888,242.6
1740798946.5595574,0,0.024872000000021703,3,2,682,682.4500000002888,242.55
1740798946.5604062,0,0.026375200000021703,3,2,682,682.4000000002889,242.5
1740798946.561403,0,0.027378400000021706,3,2,682,682.3500000002889,242.39999999999998
