frame,timestamp_sec,track_id,label,score,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,X_m,Y_m,Z_m
65,1762981654.095598,2,blueberry,0.9802,853.00,535.00,807,487,899,583,0.0479,0.2453,0.0116
65,1762981654.095598,1,blueberry,0.9777,619.00,62.00,576,21,662,103,-0.0059,0.2751,-0.1087
66,1762981656.636687,2,blueberry,0.9792,853.00,535.00,807,487,899,583,0.0479,0.2451,0.0120
66,1762981656.636687,1,blueberry,0.9783,620.50,62.50,580,22,661,103,0.0048,0.2732,-0.1110
67,1762981659.056772,1,blueberry,0.9798,622.50,63.00,579,23,666,103,-0.0058,0.2747,-0.1080
67,1762981659.056772,2,blueberry,0.9789,852.50,535.00,806,487,899,583,0.0479,0.2451,0.0125
68,1762982028.523505,1,blueberry,0.9820,666.00,605.00,621,559,711,651,0.0067,0.2495,0.0302
69,1762982029.652877,1,blueberry,0.9816,667.00,604.50,620,559,714,650,0.0062,0.2493,0.0298
70,1762982031.306600,1,blueberry,0.9771,666.50,604.50,622,559,711,650,0.0062,0.2493,0.0298
71,1762982032.556975,1,blueberry,0.9811,666.50,604.50,620,559,713,650,0.0048,0.2494,0.0316
72,1762982461.880703,1,blueberry,0.9739,817.00,506.00,790,481,844,531,0.0770,0.4698,0.0117
72,1762982461.880703,2,blueberry,0.9712,513.50,597.50,490,575,537,620,-0.0611,0.4968,0.0437
72,1762982461.880703,3,blueberry,0.9593,1090.50,597.00,1064,573,1117,621,0.1897,0.4485,0.0486
73,1762982465.349503,1,blueberry,0.9736,818.50,505.50,792,482,845,529,0.0769,0.4694,0.0135
73,1762982465.349503,2,blueberry,0.9724,513.50,597.50,490,575,537,620,-0.0614,0.4985,0.0438
73,1762982465.349503,3,blueberry,0.9626,1090.50,596.50,1064,572,1117,621,0.1897,0.4485,0.0486
74,1762982468.858639,1,blueberry,0.9739,818.50,506.00,792,482,845,530,0.0770,0.4698,0.0117
74,1762982468.858639,2,blueberry,0.9711,513.50,597.50,490,575,537,620,-0.0614,0.4985,0.0438
74,1762982468.858639,3,blueberry,0.9679,1091.50,594.50,1066,571,1117,618,0.1873,0.4489,0.0469
75,1762982472.771125,1,blueberry,0.9743,818.50,505.50,792,482,845,529,0.0770,0.4698,0.0117
75,1762982472.771125,2,blueberry,0.9703,513.50,597.50,490,575,537,620,-0.0613,0.4981,0.0438
75,1762982472.771125,3,blueberry,0.9591,1090.50,594.00,1065,571,1116,617,0.1905,0.4485,0.0469
76,1762982501.086303,1,blueberry,0.9841,828.00,494.00,782,448,874,540,0.0514,0.2467,0.0030
77,1762982502.296356,1,blueberry,0.9830,827.00,495.50,781,452,873,539,0.0514,0.2468,0.0030
78,1762982503.788754,1,blueberry,0.9841,827.00,495.00,781,451,873,539,0.0514,0.2467,0.0030
79,1762982505.039141,1,blueberry,0.9848,827.50,494.00,782,448,873,540,0.0514,0.2467,0.0030
80,1762982864.948690,1,blueberry,0.9789,811.50,493.00,784,470,839,516,0.0744,0.4702,0.0074
80,1762982864.948690,2,blueberry,0.9690,517.00,593.50,493,571,541,616,-0.0614,0.4985,0.0429
80,1762982864.948690,3,blueberry,0.9554,1093.50,587.00,1066,564,1121,610,0.1948,0.4489,0.0420
81,1762982868.417490,1,blueberry,0.9764,811.50,493.00,784,470,839,516,0.0743,0.4694,0.0091
81,1762982868.417490,2,blueberry,0.9686,517.00,592.50,493,570,541,615,-0.0621,0.4972,0.0419
81,1762982868.417490,3,blueberry,0.9577,1094.00,586.50,1066,563,1122,610,0.1897,0.4485,0.0427
82,1762982872.571982,1,blueberry,0.9780,811.50,493.00,784,470,839,516,0.0743,0.4698,0.0083
82,1762982872.571982,2,blueberry,0.9676,517.00,593.00,493,570,541,616,-0.0621,0.4968,0.0418
82,1762982872.571982,3,blueberry,0.9554,1094.00,587.00,1066,564,1122,610,0.1904,0.4481,0.0444
83,1762982876.363464,1,blueberry,0.9778,811.50,493.00,784,470,839,516,0.0743,0.4698,0.0083
